First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,E-mail 3 - Label,E-mail 3 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Phone 5 - Label,Phone 5 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address,Address 3 - Label,Address 3 - Formatted,Address 3 - Street,Address 3 - City,Address 3 - PO Box,Address 3 - Region,Address 3 - Postal Code,Address 3 - Country,Address 3 - Extended Address,Relation 1 - Label,Relation 1 - Value,Relation 2 - Label,Relation 2 - Value,Relation 3 - Label,Relation 3 - Value,Relation 4 - Label,Relation 4 - Value,Relation 5 - Label,Relation 5 - Value,Relation 6 - Label,Relation 6 - Value,Relation 7 - Label,Relation 7 - Value,Website 1 - Label,Website 1 - Value,Event 1 - Label,Event 1 - Value,Event 2 - Label,Event 2 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Custom Field 2 - Label,Custom Field 2 - Value,Custom Field 3 - Label,Custom Field 3 - Value,Custom Field 4 - Label,Custom Field 4 - Value,Custom Field 5 - Label,Custom Field 5 - Value,Custom Field 6 - Label,Custom Field 6 - Value
Natalie,,,,,,,,,,Jeremy Teacher,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+14156085511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nataly Corsini,,Z POP,,,,,,,,Jeremy Teacher,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+16282430013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathalia,,,,,,,,,,Go happy Driver. Former,,,,,,* myContacts,,,,,,,Main,4152720142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayane,,Goncalves Menezes,,,,,,,,Go Happy Transportation,Go Happy Driver,,1991-04-02,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: Y6508277
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 4/2/2029
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/10/2022
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94945
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2021
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Hyundai
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Santa Fe
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Black
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 8DGB969
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: 5NMZUDLB8JH067138
",,Imported on 11/24 3 ::: * myContacts,* Other,nayanedtna@gmail.com,,,,,Home,415-3019612,,,,,,,,,Home,"195 San Andreas Drive
Novato, CA 94945",195 San Andreas Drive,Novato,,CA,94945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayane,,Goncalves Menezes,,,,,,,,Go Happy Transportation,Driver,,1991-04-02,"Driver_FirstNm: Nayane
Driver_MiddleNm: Goncalves
Driver_LastNm: Menezes
Driver_SS#: 973-92-5584
Driver_HmLocation1_Street: 195 San Andreas Drive
Driver_City: Novato
Driver_State: CA
Driver_ZIP: 94945
License_Zip_Code: 94945
Driver_Cell: 415-3019612
Driver_DOB: 4/2/1991
Driver_Age: 33
DL/CDL #: Y6508277
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 4/2/2029
Make: Hyundai
Model: Santa Fe
Color: Black
Plate No: 8DGB969
VIN #: 5NMZUDLB8JH067138
Registration Expiration Date: 3/8/25
Reg_Vehicle_Owner (Y/N): N
Auto Insurance Company: Financial Indemnity
Policy Number: 6172-12-72-57
Policy Exp Dates: 2-7-25
",,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts ::: * starred,* Home,nayanedtna@gmail.com,Home,nayanedtna@gmail.com,,,Mobile,(415) 301-9612 ::: (415) 301-9612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neide,,Nogueira Marques Serafim,,,,,,,,Go Happy Transportation,Go Happy Driver,,1970-09-14,"Street address line 2: Apt. 6
Custom Field 1 - Label: CDL #
Custom Field 1 - Value: Y4456705
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 9/14/2030
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 12/1/2022
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94901
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2018
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Camery
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: White
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 7HWZ821
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: 2T1BURHE9FC283319
",,Imported on 11/24 3 ::: * myContacts,* Other,neide_gtba@hotmail.com,,,,,Home,415-879-6493,,,,,,,,,Home,"550 D Street
San Rafael, CA 94901",550 D Street,San Rafael,,CA,94901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neide,,Nogueira Marques Serafim,,,,,,,,Go Happy Transportation,Driver,,1970-09-04,"Driver_FirstNm: Elias
Driver_MiddleNm: Serafim
Driver_LastNm: Pereira
Driver_SS#: 94-1902178
Driver_HmLocation1_Street: 550 D Street
HmLocation1_Street2: Apt. 6
Driver_City: San Rafael
Driver_State: CA
Driver_ZIP: 94901
License_Zip_Code: 94901
Driver_Cell: 415-629-7102
Driver_DOB: 9/24/1963
Driver_Age: 61
DL/CDL #: E2160095
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 9/24/2028
Make: Toyota
Model: Camery
Color: Grey
Plate No: 8BGH612
VIN #: JTEAAAAH5RJ171888
Registration Expiration Date: 4/14/25
Reg_Vehicle_Owner (Y/N): N
Auto Insurance Company: Safeco
Policy Number: Y8921136
Policy Exp Dates: 1-26-25


Driver_FirstNm: Neide
Driver_LastNm: Nogueira Marques Serafim
Driver_ITIN: 94-4918747
Driver_HmLocation1_Street: 550 D Street, Apt 6
Driver_City: San Rafael
Driver_State: CA
Driver_ZIP: 94901
License_Zip_Code: 94901
Driver_Cell: 415-879-6493
Driver_DOB: 9/14/1970
Driver_Age: 54
DL/CDL #: Y4456705
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 9/14/2025
Make: Toyota
Model: Camery
Color: White
Plate No: 7HWZ821
VIN #: 2T1BURHE9FC283319
Registration Expiration Date: 12/20/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: Safeco
Policy Number: Y8921136
Policy Exp Dates: 1-26-25
",https://lh3.googleusercontent.com/contacts/AG6tpzG_8j_G4_zvkezi8taSnnLf13bP-gJbAj2KPzl2C7vdp8ToX3k8,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts ::: * starred,* Home,neide_gtba@hotmail.com,Home,neide_gtba@hotmail.com,,,Mobile,(415) 879-6493 ::: (415) 879-6493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nereide,,Carvalho Souza,,,,,,,,Go Happy Transportation,Driver,,,"Driver_FirstNm: Nereide
Driver_LastNm: Carvalho Souza
Driver_ITIN: 96-295-7350
Driver_HmLocation1_Street: 550 D Street, Apt 6
HmLocation1_Street2: Apt 6
Driver_City: San Rafael
Driver_State: CA
Driver_ZIP: 94901
Driver_Cell: 510-230-6928
Driver_DOB: 10/13/1955
Driver_Age: 69
DL/CDL #: CA
DL/CDL_St_of_Issue: CA
",,Go Happy - Former Drivers ::: Imported on 1/19 ::: * myContacts ::: * starred,* Home,nereidecarvalho4@gmail.com,Home,nereidecarvalho4@gmail.com,,,Mobile,(510) 230-6928 ::: (510) 230-6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New,,Directions,,,,,,,,New Directions,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+17075856108,Other,707-623-3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,,,,,,,,,,Plumber,,,,,,* myContacts,,,,,,,Main,+14157558297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,Smith,,,,,,,,Star Academy Post - Shoreline Campus,Post-High School Teacher,Autism Non-Public school,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,nick.smith@staracademy.org,,,,,Mobile,925 984-5179,,,,,,,,,School,"103 Shoreline Parkway
San Rafael, Marin County 94901
USA",103 Shoreline Parkway,San Rafael,,Marin County,94901,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Tamalpais Union High School District,,,,,,,,,,
Nico,,Debisschop,,,,,,,,Archie Williams,,,,,,GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: * myContacts,,,,,,,Mom Mobile, 415-601-5111,,,,,,,,,Home,"22 Paloma Dr
Corte Madera, CA 94925-2016
US",22 Paloma Dr,Corte Madera,,CA,94925-2016,US,,Archie Williams,"1327 Sir Francis Drake Blvd
San Anselmo, CA 94960
US",1327 Sir Francis Drake Blvd,San Anselmo,,CA,94960,US,,,,,,,,,,,Dad,Ryan Debisschop,Mom,Kristy Debisschop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,,Cribioli,,,,,,,,Glenwood Elementary School,Community Liaison,Elementary School District,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,415 485-2415,Classroom,415 485-2430 ext. 1429,,,,,,,School,"25 Castlewood Drive
San Rafael, San Rafael City Schools 94901
USA",25 Castlewood Drive,San Rafael,,San Rafael City Schools,94901,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,"MCSD, SRHFY",,,,,,,,,,
Nikander,,Jonte,,,,,,,,Compass Academy,Teacher,Special Education School,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,njonte@marinschools.org,,,,,Main,415 695-5765,Mobile,707 296-0373,,,,,,,School,"720 Diablo Ave
Novato, Marin Office of Education 94947
USA",720 Diablo Ave,Novato,,Marin Office of Education,94947,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Marin Pupil Transportation Agency,,,,,,,,,,
Nikolas,,Cotten,,,,,,,,Go Happy Transportation,Driver,,2003-01-14,"Driver_FirstNm: Nikolaus
Driver_MiddleNm: Spencer
Driver_LastNm: Cotten
Driver_NickNm: Nik
Driver_SS#: 643-84-1817
Driver_HmLocation1_Street: 16 Jess Ave
Driver_City: Petaluma
Driver_State: CA
Driver_ZIP: 94952-2243
Driver_Cell: 707-975-8297
Driver_DOB: 1/14/2003
Driver_Age: 22
DL/CDL #: Y5963531
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 1/14/2026
Make: Ford
Model: CMAX Hybrid
Color: Grey
Plate No: 7YQG286
VIN #: 1FADP5AU3HL110150
Auto Insurance Company: State Farm
Policy Number: 479 5015-F21-05A
",,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts ::: * starred,* Home,nikcotten9@gmail.com,Home,nikcotten9@gmail.com,,,Mobile,707-975-8297 ::: 707-975-8297,,,,,,,,,,"16 Jess Ave
Petaluma, CA 94952-2243
US ::: 16 Jess Ave
Petaluma, CA 94952-2243
US",16 Jess Ave ::: 16 Jess Ave,Petaluma ::: Petaluma, ::: ,CA ::: CA,94952-2243 ::: 94952-2243,US ::: US, ::: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolaus,Spencer,Cotten,,,,,,,,Go Happy Transportation,Go Happy Driver,,2003-01-14,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: Y5963531
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 1/14/2026
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/21/2021
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94952
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2017
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Prius
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Blue
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 6SMT585
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: JTDKN3DU0B0311293
",,Imported on 11/24 3 ::: * myContacts,* Other,nikcotten9@gmail.com,,,,,Home,707-975-8297,,,,,,,,,Home,"16 Jess Ave
Petaluma, CA 94952",16 Jess Ave,Petaluma,,CA,94952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Driver_FirstNm: Nathalia
Driver_LastNm: Nunes De Moura Lobo
Driver_SS#: 151-67-7261
Driver_HmLocation1_Street: 258 Miller Avenue
HmLocation1_Street2: APT 5
Driver_City: Mill Valley
Driver_State: CA
Driver_ZIP: 94080
License_Zip_Code: 94080
Driver_Cell: 415-573-6732
Driver_DOB: 5/22/2002
Driver_Age: 22
DL/CDL #: Y7334873
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 5/22/2025
Make: Ford
Model: Fusion
Color: Red
Plate No: 9BJP331
VIN #: 3FA6P0SU3HR231255
Auto Insurance Company: State Farm
Policy Number: 499-1619-A05-05
Policy Exp Dates: 1/5/25
",,Go Happy - Former Drivers ::: Imported on 1/19 ::: * myContacts,* Other,nnathalia586@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,,,,,,,,,,Caden Dad,,,,,,GO HAPPY RIDERS ::: * myContacts,,,,,,,Main,+14157133370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,,Levin,,,,,,,,Go Happy Cab,Driver,,1973-09-03,"Driver_FirstNm: Noah
Driver_LastNm: Levine
Driver_SS#: 549-29-9979
Driver_HmLocation1_Street: 37 E Crescent Drive
Driver_City: San Rafael
Driver_State: CA
Driver_ZIP: 94901
License_Zip_Code: 94901
Driver_Cell: 415-583-4683
Driver_DOB: 9/3/1973
Driver_Age: 51
DL/CDL #: A4599380
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 9/3/2028
Model: Range Rover
Color: Black
Plate No: 8JEN963
VIN #: SALMF11494A170535
",,Go Happy - Former Drivers ::: Imported on 1/19 ::: * myContacts ::: * starred,* Home,noahlevine369@gmail.com,,,,,Mobile,415-583-4683,,,,,,,,,Home,"37 E Crescent Dr
San Rafael, CA 94901-1628
US",37 E Crescent Dr,San Rafael,,CA,94901-1628,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel,,Camatog,,,,,,,,Redwood High School - Cicada,,,2010-10-20,Extreme Behavior,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Group Home,415-300-6289,Case Mgr,415-300-6289,Teacher,(415) 927-1244,Teacher Mobile,510 367-8884,,,Cicada Group Home,"44 Almenar Dr
Kentfield, CA 94904-1144
US","44 Almenar Dr
Kentfield, CA 94904-1144
US",,,,,,,Redwood High School,"395 Doherty Dr
Larkspur, CA 94939-1536
US","395 Doherty Dr
Larkspur, CA 94939-1536
US",,,,,,,,,,,,,,,,Rider,Ben Richards,Cicada Mgr,Noel Camatog,Teacher,Jack Goodman,Driver,Teresa Cotten,,,,,,,,,,,,,Rider FirstNm,Ben,Rider LastNm,Richards,Job Title,Ben Richards Case Manager,,,,,,
Nohemi,,Terraza,,,,,,,,Bahia Visa Elementary,,,2016-06-06,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,628-269-7004 ::: 628-269-7004,School Office,415-485-2415,HFY Mobile,510-375-0297,,,,,Home,"1130 Mission Ave #12
San Rafael, CA 94901-2931
US","1130 Mission Ave #12
San Rafael, CA 94901-2931
US",,,,,,,Bahia Vista Elementary,"125 Bahia Way
San Rafael, CA 94901-4502
US","125 Bahia Way
San Rafael, CA 94901-4502
US",,,,,,,,,,,,,,,,Rider,Edwin Perez Terraza,Mom,Nohemi Terraza,Dad,Rolando Perez Terraza,,,,,,,,,,,,,,,Rider FirstNm,Edwin,Rider LastNm,Perez Terraza,Job Title,Edwin Perez Terraza Parent,,,,,,
Northbay,,Taxi,,,,,,,,Northbay Taxi,,,,,,* myContacts,,,,,,,Mobile,(415) 258-2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,,Marshall,,,,,,,,,,,,,https://lh3.googleusercontent.com/contacts/AG6tpzFGTAf7oaZR0bck3tEyPUxA04KE6OUWuSUOkFgzzbwxGwulPbR7,* myContacts,* Home,oliviamarshall0901@gmail.com,,,,,Main,203-644-0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,,Trujilo,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+1 (415) 816-0412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen,,Latham,,,,,,,,San Andreas High,Principal,Special Education School,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,olatham@tamdistrict.org,,,,,Mobile,510 578-8097,,,,,,,,,School,"599 William Ave
Larkspur, Marin Office of Education 94930
USA",599 William Ave,Larkspur,,Marin Office of Education,94930,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Tamalpais Union High School District,,,,,,,,,,
Pai Do Krimo,,,,,,,,,,Krimo dad,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+14155745882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paige,,Missamore,,,,,,,,,,,,553133175,,* myContacts,,,,,,,Main,+14153066871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat,,,,,,,,,,Eddies Wife,,,,,,* myContacts,,,,,,,Main,+14152617194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patricia,,Gibson,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+1 (540) 820-2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,,Hessel,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+19178212270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patton,,Boyce Teacher,,,,,,,,,,,,,,* myContacts,,,,,,,Main,4157261032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula,,Aguerrebere,,,,,,,,Anthony,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,14158600235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula,,Beltran,,,,,,,,Grant Grover,,,2006-05-26,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,415-524-5994,Other,415 887-9467,School Office,415 312-6377,Teacher Ruth Jensen,415-499-5872,,,Home,"115 Shoreline Hwy
Mill Valley, CA 94941
US","115 Shoreline Hwy
Mill Valley, CA 94941
US",,,,,,,Grant Grover School,"730 College Ave
Kentfield, CA 94904-2532
US","730 College Ave
Kentfield, CA 94904-2532
US",,,,,,,,,,,,,,,,Rider,Brandon Beltran,Mom,Paula Beltran,Teacher,Ruth Jensen,,,,,,,,,,,,,,,Rider FirstNm,Brandon,Rider LastNm,Beltran,Job Title,Brandon Beltran Parent,,,,,,
Paula,,Beltran,,,,Brandon Beltran Parent,,,,Grant Grover,,,2006-05-26,"Rider_FirstNm: Brandon
Rider_LastNm: Beltran
115 Shoreline Hwy
109
Sausalito
94941
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Mobile,415-524-5994,Teacher,(415) 499-5872,,,,,,,Home,"115 Shoreline Hwy
Mill Valley, CA 94941
US",115 Shoreline Hwy,Mill Valley,,CA,94941,US,,Grant Grover School,"730 College Ave
Kentfield, CA 94904-2532
US",730 College Ave,Kentfield,,CA,94904-2532,US,,,,,,,,,,,Teacher,Ruth Jensen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula,,McNally,,,,,,,,Happy Cab Client,,,,"4147-2023-8455-0529 x11/26
(505)


Hi Paula, it’s Cathey from Go Happy. Can I get you email address?  I have been traveling this past month and finally sitting down to bill accounts. I wanted to email you the credit card receipts one I put them through. 

There are 4 charges in total. 

2 to SF
79.80 + 20 for the tip
And 2 for $42.00

Just want to make sure you are ok with me putting these on your card. 

Cat",,GO HAPPY ALL ::: * myContacts,* Home,Paulamcnally@sbcglobal.net,,,,,Main,+14159991429,,,,,,,,,Home,"635 E EliseoDrive
Greenbrae, CA 94904
United States",635 E EliseoDrive,Greenbrae,,CA,94904,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Driver_FirstNm: Paula
Driver_MiddleNm: Ann
Driver_LastNm: Meredith
Driver_SS#: 559-41-7228
Driver_HmLocation1_Street: 114 Vallejo Street
Driver_City: Petaluma
Driver_State: CA
Driver_ZIP: 94952
License_Zip_Code: 94952
Driver_Cell: 707-753-3414
Driver_DOB: 2/9/1963
Driver_Age: 61
DL/CDL #: C1310860
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 2/9/2025
Make: Hyundai
Model: Sonata
Color: White
Plate No: 8UIA442
VIN #: 5NPEB4ACODH780011
Registration Expiration Date: 8/10/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: State Farm
Policy Number: 538-7599-E01-85
Policy Exp Dates: 5-1-25
",,Go Happy - Former Drivers ::: Imported on 1/19 ::: * myContacts,* Other,paulameredith81@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo,,Maracaibe Lima,,,,,,,,Go Happy Transportation,Go Happy Driver,,1979-03-02,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: Y8487220
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 3/2/2027
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/10/2021
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94564
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2018
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Kia
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Sportage Hybrid
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: White
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 9NHF015
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: KNDPUCAG8P7025083
",,Imported on 11/24 3 ::: * myContacts,* Other,paulomaracaipe@hotmail.com,,,,,Home,203-297-7358,,,,,,,,,Home,"3361 Pinole Valley Road
Pinole, CA 94564",3361 Pinole Valley Road,Pinole,,CA,94564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo,,Maracaibe Lima,,,,,,,,Go Happy Transportation,Drover,,,"Driver_FirstNm: Paulo
Driver_LastNm: Maracaibe Lima
Driver_SS#: 97-894-9799
Driver_HmLocation1_Street: 3361 Pinole Valley Road
Driver_City: Pinole
Driver_State: CA
Driver_ZIP: 94564
License_Zip_Code: 94564
Driver_Cell: 203-297-7358
Driver_DOB: 3/2/1979
Driver_Age: 45
DL/CDL #: Y8487220
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 3/2/2027
Make: Ford
Model: Fusion Hybrid
Color: Grey
Plate No: 8REH002
VIN #: 3FA6POLU5JR133302
Registration Expiration Date: 3/8/25
Reg_Vehicle_Owner (Y/N): N
Auto Insurance Company: Bristol West
Policy Number: GPCP-00325892-01
Policy Exp Dates: 1-16-25
",https://lh3.googleusercontent.com/contacts/AG6tpzFpDXm7FIje5D5mWq-nBVKo3eICoe0M7gBJ3Idnn_D22647NUcc,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts ::: * starred,* Home,paulomaracaipe@hotmail.com,Home,paulomaracaipe@hotmail.com,,,Mobile,+1 (203) 297-7358 ::: +1 (203) 297-7358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penny,,,,,,,,,,Good Faries,,,,,,* myContacts,,,,,,,Main,+14153091358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penny,,Aide,,,,,,,,Penny Aide,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+15108667073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,,,,,,,,,,My SEO Guy,,,,,,* myContacts,,,,,,,Main,+1 (302) 504-6917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,,Andreoli,,,,,,,,Marcos Dad,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,845 392 0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
